Lanskod;Lan;aldersgrupp;Vaccinationsvecka;Vaccinationsstatus;Befolkning;Antal;Andel;;;;
00;| Sverige |;16-17;2021-04;Minst 2 doser;236826;0;0%;;;;
00;| Sverige |;16-17;2021-05;Minst 2 doser;236826;0;0%;;;;
00;| Sverige |;16-17;2021-06;Minst 2 doser;236826;0;0%;;;;
00;| Sverige |;16-17;2021-07;Minst 2 doser;236826;0;0%;;;;
00;| Sverige |;16-17;2021-08;Minst 2 doser;236826;0;0%;;;;
00;| Sverige |;16-17;2021-09;Minst 2 doser;236826;0;0%;;;;
00;| Sverige |;16-17;2021-10;Minst 2 doser;236826;0;0%;;;;
00;| Sverige |;16-17;2021-11;Minst 2 doser;236826;0;0%;;;;
00;| Sverige |;16-17;2021-12;Minst 2 doser;236826;0;0%;;;;
00;| Sverige |;16-17;2021-13;Minst 2 doser;236826;0;0%;;;;
00;| Sverige |;16-17;2021-14;Minst 2 doser;236826;0;0%;;;;
00;| Sverige |;16-17;2021-15;Minst 2 doser;236826;0;0%;;;;
00;| Sverige |;16-17;2021-16;Minst 2 doser;236826;0;0%;;;;
00;| Sverige |;16-17;2021-17;Minst 2 doser;236826;0;0%;;;;
00;| Sverige |;16-17;2021-18;Minst 2 doser;236826;0;0%;;;;
00;| Sverige |;16-17;2021-19;Minst 2 doser;236826;0;0%;;;;
00;| Sverige |;16-17;2021-20;Minst 2 doser;236826;0;0%;;;;
00;| Sverige |;16-17;2021-21;Minst 2 doser;236826;0;0%;;;;
00;| Sverige |;16-17;2021-22;Minst 2 doser;236826;0;0%;;;;
00;| Sverige |;16-17;2021-23;Minst 2 doser;236826;0;0%;;;;
00;| Sverige |;16-17;2021-24;Minst 2 doser;236826;22;0%;;;;
00;| Sverige |;16-17;2021-25;Minst 2 doser;236826;35;0%;;;;
00;| Sverige |;16-17;2021-26;Minst 2 doser;236826;58;0%;;;;
00;| Sverige |;16-17;2021-27;Minst 2 doser;236826;95;0%;;;;
00;| Sverige |;16-17;2021-28;Minst 2 doser;236826;109;0%;;;;
00;| Sverige |;16-17;2021-29;Minst 2 doser;236826;123;0%;;;;
00;| Sverige |;16-17;2021-30;Minst 2 doser;236826;134;0%;;;;
00;| Sverige |;16-17;2021-31;Minst 2 doser;236826;149;0%;;;;
00;| Sverige |;16-17;2021-32;Minst 2 doser;236826;225;0%;;;;
00;| Sverige |;16-17;2021-33;Minst 2 doser;236826;795;0%;;;;
00;| Sverige |;16-17;2021-34;Minst 2 doser;236826;1745;1%;;;;
00;| Sverige |;16-17;2021-35;Minst 2 doser;236826;6211;3%;;;;
00;| Sverige |;16-17;2021-36;Minst 2 doser;236826;21728;9%;;;;
00;| Sverige |;16-17;2021-37;Minst 2 doser;236826;49390;21%;;;;
00;| Sverige |;16-17;2021-38;Minst 2 doser;236826;77474;33%;;;;
00;| Sverige |;16-17;2021-39;Minst 2 doser;236826;101135;43%;;;;
00;| Sverige |;16-17;2021-40;Minst 2 doser;236826;114816;48%;;;;
00;| Sverige |;16-17;2021-41;Minst 2 doser;236826;122764;52%;;;;
00;| Sverige |;16-17;2021-42;Minst 2 doser;236826;128132;54%;;;;
00;| Sverige |;16-17;2021-43;Minst 2 doser;236826;134527;57%;;;;
00;| Sverige |;16-17;2021-44;Minst 2 doser;236826;138052;58%;;;;
00;| Sverige |;16-17;2021-45;Minst 2 doser;236826;142212;60%;;;;
00;| Sverige |;16-17;2021-46;Minst 2 doser;236826;146367;62%;;;;
00;| Sverige |;16-17;2021-47;Minst 2 doser;236826;150244;63%;;;;
00;| Sverige |;16-17;2021-48;Minst 2 doser;236826;153249;65%;;;;
00;| Sverige |;16-17;2021-49;Minst 2 doser;236826;156246;66%;;;;
00;| Sverige |;16-17;2021-50;Minst 2 doser;236826;159253;67%;;;;
00;| Sverige |;16-17;2021-51;Minst 2 doser;236826;160938;68%;;;;
00;| Sverige |;16-17;2021-52;Minst 2 doser;236826;162054;68%;;;;
00;| Sverige |;16-17;2022-01;Minst 2 doser;236826;163987;69%;;;;
00;| Sverige |;16-17;2022-02;Minst 2 doser;236826;166509;70%;;;;
00;| Sverige |;16-17;2022-03;Minst 2 doser;236826;168534;71%;;;;
00;| Sverige |;16-17;2022-04;Minst 2 doser;236826;169847;72%;;;;
00;| Sverige |;16-17;2022-05;Minst 2 doser;236826;171013;72%;;;;
00;| Sverige |;16-17;2022-06;Minst 2 doser;236826;172109;73%;;;;
00;| Sverige |;16-17;2022-07;Minst 2 doser;236826;173092;73%;;;;
00;| Sverige |;16-17;2022-08;Minst 2 doser;236826;173859;73%;;;;
00;| Sverige |;16-17;2022-09;Minst 2 doser;236826;174399;74%;;;;
00;| Sverige |;16-17;2022-10;Minst 2 doser;236826;174818;74%;;;;
00;| Sverige |;16-17;2022-11;Minst 2 doser;236826;175254;74%;;;;
00;| Sverige |;16-17;2022-12;Minst 2 doser;236826;175576;74%;;;;
00;| Sverige |;16-17;2022-13;Minst 2 doser;236826;175816;74%;;;;
00;| Sverige |;16-17;2022-14;Minst 2 doser;236826;175876;74%;;;;
00;| Sverige |;18-29;2020-52;Minst 2 doser;1502364;0;0%;;;;
00;| Sverige |;18-29;2020-53;Minst 2 doser;1502364;0;0%;;;;
00;| Sverige |;18-29;2021-01;Minst 2 doser;1502364;0;0%;;;;
00;| Sverige |;18-29;2021-02;Minst 2 doser;1502364;0;0%;;;;
00;| Sverige |;18-29;2021-03;Minst 2 doser;1502364;113;0%;;;;
00;| Sverige |;18-29;2021-04;Minst 2 doser;1502364;555;0%;;;;
00;| Sverige |;18-29;2021-05;Minst 2 doser;1502364;3200;0%;;;;
00;| Sverige |;18-29;2021-06;Minst 2 doser;1502364;7165;0%;;;;
00;| Sverige |;18-29;2021-07;Minst 2 doser;1502364;13815;1%;;;;
00;| Sverige |;18-29;2021-08;Minst 2 doser;1502364;18495;1%;;;;
00;| Sverige |;18-29;2021-09;Minst 2 doser;1502364;20647;1%;;;;
00;| Sverige |;18-29;2021-10;Minst 2 doser;1502364;22113;1%;;;;
00;| Sverige |;18-29;2021-11;Minst 2 doser;1502364;23444;2%;;;;
00;| Sverige |;18-29;2021-12;Minst 2 doser;1502364;24661;2%;;;;
00;| Sverige |;18-29;2021-13;Minst 2 doser;1502364;25585;2%;;;;
00;| Sverige |;18-29;2021-14;Minst 2 doser;1502364;26518;2%;;;;
00;| Sverige |;18-29;2021-15;Minst 2 doser;1502364;27475;2%;;;;
00;| Sverige |;18-29;2021-16;Minst 2 doser;1502364;28196;2%;;;;
00;| Sverige |;18-29;2021-17;Minst 2 doser;1502364;29209;2%;;;;
00;| Sverige |;18-29;2021-18;Minst 2 doser;1502364;32003;2%;;;;
00;| Sverige |;18-29;2021-19;Minst 2 doser;1502364;37723;3%;;;;
00;| Sverige |;18-29;2021-20;Minst 2 doser;1502364;47262;3%;;;;
00;| Sverige |;18-29;2021-21;Minst 2 doser;1502364;55735;4%;;;;
00;| Sverige |;18-29;2021-22;Minst 2 doser;1502364;67360;4%;;;;
00;| Sverige |;18-29;2021-23;Minst 2 doser;1502364;82208;5%;;;;
00;| Sverige |;18-29;2021-24;Minst 2 doser;1502364;98705;7%;;;;
00;| Sverige |;18-29;2021-25;Minst 2 doser;1502364;112582;7%;;;;
00;| Sverige |;18-29;2021-26;Minst 2 doser;1502364;124907;8%;;;;
00;| Sverige |;18-29;2021-27;Minst 2 doser;1502364;133188;9%;;;;
00;| Sverige |;18-29;2021-28;Minst 2 doser;1502364;141051;9%;;;;
00;| Sverige |;18-29;2021-29;Minst 2 doser;1502364;150071;10%;;;;
00;| Sverige |;18-29;2021-30;Minst 2 doser;1502364;161895;11%;;;;
00;| Sverige |;18-29;2021-31;Minst 2 doser;1502364;181187;12%;;;;
00;| Sverige |;18-29;2021-32;Minst 2 doser;1502364;215563;14%;;;;
00;| Sverige |;18-29;2021-33;Minst 2 doser;1502364;320247;21%;;;;
00;| Sverige |;18-29;2021-34;Minst 2 doser;1502364;492681;33%;;;;
00;| Sverige |;18-29;2021-35;Minst 2 doser;1502364;647096;43%;;;;
00;| Sverige |;18-29;2021-36;Minst 2 doser;1502364;755038;50%;;;;
00;| Sverige |;18-29;2021-37;Minst 2 doser;1502364;832563;55%;;;;
00;| Sverige |;18-29;2021-38;Minst 2 doser;1502364;883952;59%;;;;
00;| Sverige |;18-29;2021-39;Minst 2 doser;1502364;924076;62%;;;;
00;| Sverige |;18-29;2021-40;Minst 2 doser;1502364;949879;63%;;;;
00;| Sverige |;18-29;2021-41;Minst 2 doser;1502364;968399;64%;;;;
00;| Sverige |;18-29;2021-42;Minst 2 doser;1502364;983018;65%;;;;
00;| Sverige |;18-29;2021-43;Minst 2 doser;1502364;1000056;67%;;;;
00;| Sverige |;18-29;2021-44;Minst 2 doser;1502364;1011623;67%;;;;
00;| Sverige |;18-29;2021-45;Minst 2 doser;1502364;1022376;68%;;;;
00;| Sverige |;18-29;2021-46;Minst 2 doser;1502364;1032485;69%;;;;
00;| Sverige |;18-29;2021-47;Minst 2 doser;1502364;1044600;70%;;;;
00;| Sverige |;18-29;2021-48;Minst 2 doser;1502364;1057594;70%;;;;
00;| Sverige |;18-29;2021-49;Minst 2 doser;1502364;1070511;71%;;;;
00;| Sverige |;18-29;2021-50;Minst 2 doser;1502364;1083693;72%;;;;
00;| Sverige |;18-29;2021-51;Minst 2 doser;1502364;1091680;73%;;;;
00;| Sverige |;18-29;2021-52;Minst 2 doser;1502364;1097010;73%;;;;
00;| Sverige |;18-29;2022-01;Minst 2 doser;1502364;1105099;74%;;;;
00;| Sverige |;18-29;2022-02;Minst 2 doser;1502364;1116977;74%;;;;
00;| Sverige |;18-29;2022-03;Minst 2 doser;1502364;1125942;75%;;;;
00;| Sverige |;18-29;2022-04;Minst 2 doser;1502364;1132598;75%;;;;
00;| Sverige |;18-29;2022-05;Minst 2 doser;1502364;1138036;76%;;;;
00;| Sverige |;18-29;2022-06;Minst 2 doser;1502364;1143042;76%;;;;
00;| Sverige |;18-29;2022-07;Minst 2 doser;1502364;1146927;76%;;;;
00;| Sverige |;18-29;2022-08;Minst 2 doser;1502364;1150221;77%;;;;
00;| Sverige |;18-29;2022-09;Minst 2 doser;1502364;1152709;77%;;;;
00;| Sverige |;18-29;2022-10;Minst 2 doser;1502364;1154581;77%;;;;
00;| Sverige |;18-29;2022-11;Minst 2 doser;1502364;1156304;77%;;;;
00;| Sverige |;18-29;2022-12;Minst 2 doser;1502364;1157569;77%;;;;
00;| Sverige |;18-29;2022-13;Minst 2 doser;1502364;1158589;77%;;;;
00;| Sverige |;18-29;2022-14;Minst 2 doser;1502364;1158863;77%;;;;
00;| Sverige |;18-29;2020-52;Minst 3 doser;1502364;0;0%;;;;
00;| Sverige |;18-29;2020-53;Minst 3 doser;1502364;0;0%;;;;
00;| Sverige |;18-29;2021-01;Minst 3 doser;1502364;0;0%;;;;
00;| Sverige |;18-29;2021-02;Minst 3 doser;1502364;0;0%;;;;
00;| Sverige |;18-29;2021-03;Minst 3 doser;1502364;0;0%;;;;
00;| Sverige |;18-29;2021-04;Minst 3 doser;1502364;0;0%;;;;
00;| Sverige |;18-29;2021-05;Minst 3 doser;1502364;0;0%;;;;
00;| Sverige |;18-29;2021-06;Minst 3 doser;1502364;0;0%;;;;
00;| Sverige |;18-29;2021-07;Minst 3 doser;1502364;0;0%;;;;
00;| Sverige |;18-29;2021-08;Minst 3 doser;1502364;0;0%;;;;
00;| Sverige |;18-29;2021-09;Minst 3 doser;1502364;0;0%;;;;
00;| Sverige |;18-29;2021-10;Minst 3 doser;1502364;0;0%;;;;
00;| Sverige |;18-29;2021-11;Minst 3 doser;1502364;0;0%;;;;
00;| Sverige |;18-29;2021-12;Minst 3 doser;1502364;0;0%;;;;
00;| Sverige |;18-29;2021-13;Minst 3 doser;1502364;0;0%;;;;
00;| Sverige |;18-29;2021-14;Minst 3 doser;1502364;0;0%;;;;
00;| Sverige |;18-29;2021-15;Minst 3 doser;1502364;0;0%;;;;
00;| Sverige |;18-29;2021-16;Minst 3 doser;1502364;0;0%;;;;
00;| Sverige |;18-29;2021-17;Minst 3 doser;1502364;0;0%;;;;
00;| Sverige |;18-29;2021-18;Minst 3 doser;1502364;0;0%;;;;
00;| Sverige |;18-29;2021-19;Minst 3 doser;1502364;0;0%;;;;
00;| Sverige |;18-29;2021-20;Minst 3 doser;1502364;0;0%;;;;
00;| Sverige |;18-29;2021-21;Minst 3 doser;1502364;0;0%;;;;
00;| Sverige |;18-29;2021-22;Minst 3 doser;1502364;0;0%;;;;
00;| Sverige |;18-29;2021-23;Minst 3 doser;1502364;0;0%;;;;
00;| Sverige |;18-29;2021-24;Minst 3 doser;1502364;0;0%;;;;
00;| Sverige |;18-29;2021-25;Minst 3 doser;1502364;0;0%;;;;
00;| Sverige |;18-29;2021-26;Minst 3 doser;1502364;0;0%;;;;
00;| Sverige |;18-29;2021-27;Minst 3 doser;1502364;0;0%;;;;
00;| Sverige |;18-29;2021-28;Minst 3 doser;1502364;0;0%;;;;
00;| Sverige |;18-29;2021-29;Minst 3 doser;1502364;0;0%;;;;
00;| Sverige |;18-29;2021-30;Minst 3 doser;1502364;0;0%;;;;
00;| Sverige |;18-29;2021-31;Minst 3 doser;1502364;0;0%;;;;
00;| Sverige |;18-29;2021-32;Minst 3 doser;1502364;0;0%;;;;
00;| Sverige |;18-29;2021-33;Minst 3 doser;1502364;0;0%;;;;
00;| Sverige |;18-29;2021-34;Minst 3 doser;1502364;0;0%;;;;
00;| Sverige |;18-29;2021-35;Minst 3 doser;1502364;0;0%;;;;
00;| Sverige |;18-29;2021-36;Minst 3 doser;1502364;19;0%;;;;
00;| Sverige |;18-29;2021-37;Minst 3 doser;1502364;172;0%;;;;
00;| Sverige |;18-29;2021-38;Minst 3 doser;1502364;342;0%;;;;
00;| Sverige |;18-29;2021-39;Minst 3 doser;1502364;515;0%;;;;
00;| Sverige |;18-29;2021-40;Minst 3 doser;1502364;615;0%;;;;
00;| Sverige |;18-29;2021-41;Minst 3 doser;1502364;751;0%;;;;
00;| Sverige |;18-29;2021-42;Minst 3 doser;1502364;1030;0%;;;;
00;| Sverige |;18-29;2021-43;Minst 3 doser;1502364;1194;0%;;;;
00;| Sverige |;18-29;2021-44;Minst 3 doser;1502364;1968;0%;;;;
00;| Sverige |;18-29;2021-45;Minst 3 doser;1502364;3456;0%;;;;
00;| Sverige |;18-29;2021-46;Minst 3 doser;1502364;5335;0%;;;;
00;| Sverige |;18-29;2021-47;Minst 3 doser;1502364;8285;1%;;;;
00;| Sverige |;18-29;2021-48;Minst 3 doser;1502364;13497;1%;;;;
00;| Sverige |;18-29;2021-49;Minst 3 doser;1502364;23419;2%;;;;
00;| Sverige |;18-29;2021-50;Minst 3 doser;1502364;39055;3%;;;;
00;| Sverige |;18-29;2021-51;Minst 3 doser;1502364;46872;3%;;;;
00;| Sverige |;18-29;2021-52;Minst 3 doser;1502364;51850;3%;;;;
00;| Sverige |;18-29;2022-01;Minst 3 doser;1502364;60244;4%;;;;
00;| Sverige |;18-29;2022-02;Minst 3 doser;1502364;79358;5%;;;;
00;| Sverige |;18-29;2022-03;Minst 3 doser;1502364;115905;8%;;;;
00;| Sverige |;18-29;2022-04;Minst 3 doser;1502364;182292;12%;;;;
00;| Sverige |;18-29;2022-05;Minst 3 doser;1502364;277006;18%;;;;
00;| Sverige |;18-29;2022-06;Minst 3 doser;1502364;360055;24%;;;;
00;| Sverige |;18-29;2022-07;Minst 3 doser;1502364;413680;28%;;;;
00;| Sverige |;18-29;2022-08;Minst 3 doser;1502364;448453;30%;;;;
00;| Sverige |;18-29;2022-09;Minst 3 doser;1502364;470560;31%;;;;
00;| Sverige |;18-29;2022-10;Minst 3 doser;1502364;486064;32%;;;;
00;| Sverige |;18-29;2022-11;Minst 3 doser;1502364;503008;33%;;;;
00;| Sverige |;18-29;2022-12;Minst 3 doser;1502364;514110;34%;;;;
00;| Sverige |;18-29;2022-13;Minst 3 doser;1502364;524042;35%;;;;
00;| Sverige |;18-29;2022-14;Minst 3 doser;1502364;526447;35%;;;;
00;| Sverige |;30-39;2020-52;Minst 2 doser;1437786;0;0%;;;;
00;| Sverige |;30-39;2020-53;Minst 2 doser;1437786;0;0%;;;;
00;| Sverige |;30-39;2021-01;Minst 2 doser;1437786;0;0%;;;;
00;| Sverige |;30-39;2021-02;Minst 2 doser;1437786;0;0%;;;;
00;| Sverige |;30-39;2021-03;Minst 2 doser;1437786;247;0%;;;;
00;| Sverige |;30-39;2021-04;Minst 2 doser;1437786;1099;0%;;;;
00;| Sverige |;30-39;2021-05;Minst 2 doser;1437786;5547;0%;;;;
00;| Sverige |;30-39;2021-06;Minst 2 doser;1437786;11803;1%;;;;
00;| Sverige |;30-39;2021-07;Minst 2 doser;1437786;21878;2%;;;;
00;| Sverige |;30-39;2021-08;Minst 2 doser;1437786;28074;2%;;;;
00;| Sverige |;30-39;2021-09;Minst 2 doser;1437786;31074;2%;;;;
00;| Sverige |;30-39;2021-10;Minst 2 doser;1437786;32945;2%;;;;
00;| Sverige |;30-39;2021-11;Minst 2 doser;1437786;34807;2%;;;;
00;| Sverige |;30-39;2021-12;Minst 2 doser;1437786;36450;3%;;;;
00;| Sverige |;30-39;2021-13;Minst 2 doser;1437786;37676;3%;;;;
00;| Sverige |;30-39;2021-14;Minst 2 doser;1437786;38986;3%;;;;
00;| Sverige |;30-39;2021-15;Minst 2 doser;1437786;40177;3%;;;;
00;| Sverige |;30-39;2021-16;Minst 2 doser;1437786;40994;3%;;;;
00;| Sverige |;30-39;2021-17;Minst 2 doser;1437786;42177;3%;;;;
00;| Sverige |;30-39;2021-18;Minst 2 doser;1437786;45717;3%;;;;
00;| Sverige |;30-39;2021-19;Minst 2 doser;1437786;52816;4%;;;;
00;| Sverige |;30-39;2021-20;Minst 2 doser;1437786;64187;4%;;;;
00;| Sverige |;30-39;2021-21;Minst 2 doser;1437786;74795;5%;;;;
00;| Sverige |;30-39;2021-22;Minst 2 doser;1437786;89220;6%;;;;
00;| Sverige |;30-39;2021-23;Minst 2 doser;1437786;106418;7%;;;;
00;| Sverige |;30-39;2021-24;Minst 2 doser;1437786;126448;9%;;;;
00;| Sverige |;30-39;2021-25;Minst 2 doser;1437786;144648;10%;;;;
00;| Sverige |;30-39;2021-26;Minst 2 doser;1437786;161174;11%;;;;
00;| Sverige |;30-39;2021-27;Minst 2 doser;1437786;171864;12%;;;;
00;| Sverige |;30-39;2021-28;Minst 2 doser;1437786;181929;13%;;;;
00;| Sverige |;30-39;2021-29;Minst 2 doser;1437786;196322;14%;;;;
00;| Sverige |;30-39;2021-30;Minst 2 doser;1437786;236093;16%;;;;
00;| Sverige |;30-39;2021-31;Minst 2 doser;1437786;313832;22%;;;;
00;| Sverige |;30-39;2021-32;Minst 2 doser;1437786;429400;30%;;;;
00;| Sverige |;30-39;2021-33;Minst 2 doser;1437786;592210;41%;;;;
00;| Sverige |;30-39;2021-34;Minst 2 doser;1437786;731045;51%;;;;
00;| Sverige |;30-39;2021-35;Minst 2 doser;1437786;823825;57%;;;;
00;| Sverige |;30-39;2021-36;Minst 2 doser;1437786;881116;61%;;;;
00;| Sverige |;30-39;2021-37;Minst 2 doser;1437786;921775;64%;;;;
00;| Sverige |;30-39;2021-38;Minst 2 doser;1437786;950026;66%;;;;
00;| Sverige |;30-39;2021-39;Minst 2 doser;1437786;973745;68%;;;;
00;| Sverige |;30-39;2021-40;Minst 2 doser;1437786;992050;69%;;;;
00;| Sverige |;30-39;2021-41;Minst 2 doser;1437786;1008365;70%;;;;
00;| Sverige |;30-39;2021-42;Minst 2 doser;1437786;1021332;71%;;;;
00;| Sverige |;30-39;2021-43;Minst 2 doser;1437786;1032661;72%;;;;
00;| Sverige |;30-39;2021-44;Minst 2 doser;1437786;1039636;72%;;;;
00;| Sverige |;30-39;2021-45;Minst 2 doser;1437786;1045948;73%;;;;
00;| Sverige |;30-39;2021-46;Minst 2 doser;1437786;1052017;73%;;;;
00;| Sverige |;30-39;2021-47;Minst 2 doser;1437786;1059011;74%;;;;
00;| Sverige |;30-39;2021-48;Minst 2 doser;1437786;1065758;74%;;;;
00;| Sverige |;30-39;2021-49;Minst 2 doser;1437786;1072801;75%;;;;
00;| Sverige |;30-39;2021-50;Minst 2 doser;1437786;1080351;75%;;;;
00;| Sverige |;30-39;2021-51;Minst 2 doser;1437786;1084825;75%;;;;
00;| Sverige |;30-39;2021-52;Minst 2 doser;1437786;1087996;76%;;;;
00;| Sverige |;30-39;2022-01;Minst 2 doser;1437786;1093261;76%;;;;
00;| Sverige |;30-39;2022-02;Minst 2 doser;1437786;1101255;77%;;;;
00;| Sverige |;30-39;2022-03;Minst 2 doser;1437786;1107030;77%;;;;
00;| Sverige |;30-39;2022-04;Minst 2 doser;1437786;1111154;77%;;;;
00;| Sverige |;30-39;2022-05;Minst 2 doser;1437786;1114490;78%;;;;
00;| Sverige |;30-39;2022-06;Minst 2 doser;1437786;1117872;78%;;;;
00;| Sverige |;30-39;2022-07;Minst 2 doser;1437786;1120730;78%;;;;
00;| Sverige |;30-39;2022-08;Minst 2 doser;1437786;1122980;78%;;;;
00;| Sverige |;30-39;2022-09;Minst 2 doser;1437786;1124601;78%;;;;
00;| Sverige |;30-39;2022-10;Minst 2 doser;1437786;1125854;78%;;;;
00;| Sverige |;30-39;2022-11;Minst 2 doser;1437786;1127083;78%;;;;
00;| Sverige |;30-39;2022-12;Minst 2 doser;1437786;1127970;78%;;;;
00;| Sverige |;30-39;2022-13;Minst 2 doser;1437786;1128622;78%;;;;
00;| Sverige |;30-39;2022-14;Minst 2 doser;1437786;1128796;79%;;;;
00;| Sverige |;30-39;2020-52;Minst 3 doser;1437786;0;0%;;;;
00;| Sverige |;30-39;2020-53;Minst 3 doser;1437786;0;0%;;;;
00;| Sverige |;30-39;2021-01;Minst 3 doser;1437786;0;0%;;;;
00;| Sverige |;30-39;2021-02;Minst 3 doser;1437786;0;0%;;;;
